gateadresse,latitude,longitude
Berberisveien 1 (Stavanger),58.96419269903792,5.691826365734525
Berberisveien 2 (Stavanger),58.96447374480803,5.691921225333315
Berberisveien 3 (Stavanger),58.96418098413368,5.692071106985399
Berberisveien 4 (Stavanger),58.96459029921255,5.691910048816869
Berberisveien 5 (Stavanger),58.9639909278023,5.692019725721089
Berberisveien 7 (Stavanger),58.96388378312482,5.692047400474133
Berberisveien 8 (Stavanger),58.964777474475355,5.69237586404661
Berberisveien 9 (Stavanger),58.96375737491678,5.692024718908295
Berberisveien 10 (Stavanger),58.96460226174279,5.692483150814251
Berberisveien 11A (Stavanger),58.963974242655325,5.692421552517151
Berberisveien 11B (Stavanger),58.96397060445119,5.692630715323384
Berberisveien 13 (Stavanger),58.96418986411727,5.692418281114006
Berberisveien 15 (Stavanger),58.96415932873949,5.6926300238323755
